"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"16793_257.14_4.635",0.000147972465559086,7.75016459580946e-05,2.45906004254457e-05,3.80218902463718e-05,0.000152186282739637,5.41579130423728e-05,9.31166461832731e-06,4.41966071059134e-05,4.4995697272676e-05,4.0751253384073e-05,2.39025849173281e-05,2.98460325669219e-07,8.42651877312848e-05,3.56268061164043e-06,2.39723409762606e-05,0.000109130912161737
"22299_257.14_6.286",0.000140810818028726,0.000105591934526563,1.38626070949775e-05,5.04454977385224e-05,7.55998237967946e-05,6.63252359741554e-05,8.75960340743746e-06,8.95477888601898e-05,8.00087859913827e-05,3.47091595790057e-05,5.46649048243658e-05,1.30391482742153e-06,5.43750814048686e-05,1.92333369420457e-06,7.80335378600251e-05,0.00014843349219998
"17936_257.14_4.967",0.000110232916310084,0.000130295598425847,4.80612054093565e-05,5.45443390978247e-05,9.22629839568638e-05,8.51303182377813e-05,1.49311056100332e-05,5.48577518356088e-05,6.50826747011126e-05,2.4571720407741e-05,2.58137978748306e-05,1.5307132348481e-06,0.000125242386910431,1.90289138904327e-05,4.85041620421579e-05,8.34597065862081e-05
"16275_257.14_4.423",6.32571524081769e-05,0.00014459712893095,2.55003740594476e-05,3.2819169608952e-05,0.000169845970179589,0.000183057210438204,1.072013000034e-05,4.5846337930093e-05,6.60812880199788e-05,2.3320837228805e-05,2.9212850818291e-05,2.98460325669219e-07,7.06931133534484e-05,1.92333369420457e-06,1.25984742852131e-05,4.03590789689468e-05
"24285_257.155_6.903",7.46315487693904e-06,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,8.80757426853424e-05,5.27749479595558e-05,1.39095865233867e-05,6.84086117707651e-06,4.89566372441783e-06,1.46936816198674e-06,4.97814135186739e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,8.82997872894696e-06,4.22152262745832e-05
"24011_257.176_6.87",0.000103612660594694,3.93083583145172e-05,1.56646305245539e-05,2.54143474578611e-05,4.36085029476021e-05,8.4531750419599e-05,6.61837487409464e-07,4.78629228516634e-05,4.56053127027783e-05,2.81609194168533e-05,4.93106332975871e-05,2.98460325669219e-07,4.88666875871479e-05,3.80912238477375e-06,1.61622880047847e-05,8.81640904680921e-05
"24788_257.176_7.081",0.000958044520434775,0.00104781409738669,0.000386046024999364,0.000601525524523192,0.00083300064661742,0.000775459829381485,0.000197949989428169,0.000631410124432637,0.00051076745996441,0.000189811140324845,0.000203341197485418,3.58336418726594e-05,0.00102180565050403,0.000210783996973221,0.000561091291697309,0.000853895645107681
"26336_257.176_7.505",0.00024713699634376,7.06344736457111e-05,0.000109942753780328,5.32788037806158e-05,7.08759061115863e-05,0.000103272234573966,1.30976044331659e-05,0.000119726756111719,0.000119265406073812,1.04582382528537e-05,2.13794806368759e-05,9.92143510386922e-07,9.47072145349872e-05,4.96002515980623e-05,4.04078325089249e-05,0.000147792157796559
"27079_257.176_7.693",0.000110328730681331,4.09473456195516e-06,1.95657031402892e-06,2.04695619091898e-06,2.31913277840061e-05,2.04945974630571e-05,1.64949162837498e-06,7.05971563577243e-05,5.00393698927711e-05,7.783937763444e-06,1.83167896386472e-05,2.98460325669219e-07,2.89065859436303e-05,1.92333369420457e-06,6.12221741933632e-06,4.97168241070471e-05
"28625_257.176_8.053",0.000111059020037528,2.59347011755045e-05,8.90018108547909e-06,1.65648613185113e-05,1.79923363706844e-05,2.86716794848314e-05,2.40823972280165e-06,6.40626635308438e-05,6.15887605362483e-05,4.32767369286136e-06,1.15215697180269e-05,7.71062076582597e-07,2.34031072189593e-05,2.36065213004563e-06,1.6040929128799e-05,6.30219939683442e-05
"24400_257.176_6.961",0.000166721315691754,6.34759004788476e-05,3.10620835437742e-05,3.92996421703019e-05,4.62595888882566e-05,2.81576618671383e-05,8.2285043947852e-06,5.70536464186039e-05,4.40603107479211e-05,1.49440899218735e-05,4.40962035620845e-05,9.87744069522773e-07,0.000121230998150091,8.77241458913236e-06,4.13042521030668e-05,7.43218344502718e-05
"32793_257.212_9.043",9.98360950381524e-05,9.2265741875474e-05,1.80073774375315e-06,2.04695619091898e-06,1.65821146010204e-05,2.8888472121607e-05,2.14471536397819e-06,5.02128281522632e-05,5.5221728105743e-05,4.04190297258006e-05,3.02881305578547e-05,1.4781730252681e-06,2.341036296827e-05,1.92333369420457e-06,7.17560556750171e-05,6.2048891554407e-05
"33690_257.212_9.248",0.00037562400832815,0.000202177021114038,0.000110019987012899,0.000206092713213931,8.50750240455296e-05,0.000104556701894735,3.52950809761597e-05,0.000516622496182537,0.000312887735165361,0.000140229635849903,0.000313525932840564,1.86580017077615e-05,0.00019577686877178,6.55481848933713e-05,0.000291001847620018,0.000369939031117646
"33315_257.212_9.174",0.000178194113968055,2.14976463388591e-05,3.35631445664161e-05,0.000108563508324003,2.21313657882516e-05,5.38033144933549e-05,8.72602192374391e-06,0.000159449827056532,0.000188887889886447,0.000180786153756461,0.000544249075666546,1.72187900664816e-05,0.000120609042161539,4.48785526174424e-05,0.000289755537097111,0.000257244520042727
"30811_257.212_8.565",0.000189560701522144,5.29391480328338e-05,3.28087091183276e-05,3.33022931395674e-05,2.9752989971589e-05,2.06474261323216e-05,1.42506802663723e-05,0.00010219966172807,6.19856613351606e-05,2.08773292048302e-05,2.68873966355091e-05,2.89722167050817e-06,7.46486770343189e-05,1.05850495012031e-05,4.04858538544805e-05,6.62927193168605e-05
