"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"40840_801.585_12.669",135617.93,0,0,0,0,0,0,33370.684,52502.5195,0,0,0,534.3299,0,0,2185.4248
"33416_802.276_10.956",4361.5575,0,5512.3861,0,0,0,0,0,0,113191.055,8761.374,13945.313,76048.465,840.3165,0,2088.6349
"33053_802.276_10.885",9404.1795,0,6995.895,0,0,0,0,6974.91515,4827.23685,147801.28,29995.001,41475.2925,111059.245,840.3165,0,7724.45
"22697_802.552_8.285",16990.379,805.31645,0,0,0,0,0,20841.931,32577.2305,84165.65,284008.205,196914.87,478.740875,0,259988.5,27765.255
"39516_802.589_12.347",4767.3087,0,0,16983.293,0,0,0,18397.784,0,4159.8748,142126.61,52032.7285,0,0,959461.2,21766.2518
"30703_802.625_10.433",36055.7485,16958.324,395.374635,3859.56785,0,0,0,97906.297,137051.515,5396.5911,30263.412,8910.46065,3558.71165,0,655557.48,31227.9365
"540_802.798_0.769",300918.81,0,0,12689.7215,0,0,0,5352.49195,56053.2925,8430.7025,5538.53,0,0,2528.7519,0,0
"39448_803.091_12.363",397.00995,0,0,7669.30775,0,0,0,4756.4822,0,1212.39225,67199.765,15387.1755,0,0,579897.8,12026.3713
"8284_803.404_3.556",7246.622,0,0,0,0,0,0,5345.4885,8012.32975,10655.1475,89163.8775,96931.285,0,0,5097.06925,2996.8335
"9111_803.425_3.783",120964.305,9361.244,0,8421.9225,7143.9306,9613.9297,11294.6915,185266.97,130371.92,77593.117,201553.295,174047.935,0,0,32072.1,40116.125
"7349_803.425_3.232",19336.8515,2140.84285,0,0,0,1015.56953,0,17661.403,18237.4005,115028.01,311929.24,181730.257,0,0,16190.501,45508.277
"6923_803.425_3.092",2265.1753,0,0,0,0,0,0,0,3284.287,49201.881,110191.64,85588.53,0,0,3599.85085,14882.881
"33584_803.579_10.995",0,0,0,0,0,0,0,2070.093,0,16888.1025,120682.855,63083.1565,0,0,622734.75,16442.6565
"38583_803.597_12.196",0,0,0,784.14063,0,643.75265,0,0,866.17885,100029.31,226015.115,73711.368,4950.2114,3126.96495,73492.271,3127.5325
"36659_803.598_11.617",8595.61525,0,0,314.1474,0,0,0,16024.2885,5476.1885,186355.3,605162,258945.005,3436.4059,1535.84755,762468.675,22642.53
"45309_803.6_13.649",127006.232,0,0,0,0,0,0,120029.335,64256.9,0,0,0,1894.64695,230.04065,0,1807.9591
"44470_803.6_13.474",45582.207,0,0,0,0,0,0,19765.1155,23211.248,766.9817,0,0,3977.23015,0,0,0
"36738_804.098_11.649",1593.9875,0,0,0,0,0,0,1612.89685,0,80599.515,428543.5,189529.57,0,0,467436.84,18191.6475
"24176_804.49_8.656",0,13243.782,0,142534.03,206213.93,10417.52385,40863.295,0,2043.2628,0,0,0,332.6808,0,20051.8185,37081.9985
"20242_804.531_7.703",0,0,0,0,0,0,0,0,0,114899.635,325950.86,265828.095,0,0,112032.947,33992.908
"20740_804.532_7.831",0,0,0,0,0,0,0,0,0,596563.5,1754337.1,1034742.2,1152.8497,0,566014.2,144960.51
"21621_804.533_8.038",0,0,0,0,0,0,0,0,0,133819.53,379489.625,287706.11,0,0,139317.525,30909.1085
"23735_804.568_8.542",49347.549,0,0,0,0,0,0,5803.97165,33906.3075,0,2159.3375,14626.9295,4394.06765,0,282862.13,7048.80485
"21773_804.568_8.066",333293.96,24138.8005,2466.79455,36650.994,0,0,0,376498.44,514752.16,486778.045,1645261.2,1179419.35,14053.157,2083.01315,2002336.75,262097.65
"34000_804.584_11.004",0,0,0,0,0,0,0,0,0,15928.4105,151258.605,57679.998,0,0,141880.215,5610.95895
"28383_804.605_9.747",27486.358,32015.0865,9376.025,50838.4045,19900.071,12698.818,10012.711,70696.5025,81841.99,50477.917,154172.615,60924.702,8686.3857,11883.74,325064.39,44079.1565
"28839_804.605_9.877",111686.715,50364.722,16303.9275,39327.4065,28800.198,16891.803,48034.876,153223.275,170683.875,60753.7815,275126.995,152332.98,36863.102,6029.87235,2662068,197719.87
"791_804.796_0.799",44196.5665,0,0,0,0,0,0,0,3771.91705,0,0,0,0,0,0,0
"39335_805.067_12.341",0,0,0,1193.7002,0,0,0,0,0,0,1798.0613,1313.4595,0,0,151610.055,1333.06715
"8296_805.441_3.533",48927.516,1444.866275,0,354.9925,1373.93115,5401.139,1265.6465,66672.548,59639.3765,267319.185,972300.53,492292.14,0,0,42048.916,110464.4325
"26172_805.488_9.154",0,0,0,5815.3578,0,2157.433,2424.07,70625.2885,24225.4095,0,0,0,0,0,0,0
"34432_805.573_11.139",0,0,0,0,0,0,0,0,0,20497.7115,160250.48,89277.415,0,0,0,0
"34269_805.628_11.092",0,10848.826,0,79561.2325,0,0,0,0,0,0,0,0,0,0,0,940.1234
"32232_806.308_10.722",5730.80475,0,6449.06565,0,0,0,0,0,0,51217.209,7813.277,11860.228,49245.289,3785.21265,0,0
"19045_806.584_7.278",417993.94,0,0,1064.85425,0,0,0,439532.93,378513.08,72047.5875,361587.85,248063.08,3655.45455,450.055145,1000037.78,66788.848
"23988_806.584_8.612",99160.242,11317.27,311.60575,27279.6845,15267.685,5772.20765,0,145888.59,86078.25,82367.035,98299.3045,62281.414,6952.94,2223.24415,581255.4,58015.9805
"25578_807.33_9.007",483895.965,0,0,0,0,0,0,225100.765,205229.28,158543.99,466660.46,479534.94,3283.24145,175.45999,397758.715,131199.11
"25679_807.392_9.011",432692.625,0,0,0,0,0,0,345169.56,469748.4,167250.97,466609.78,601562.525,0,0,375302.315,123009.065
"25250_807.393_8.945",130374.615,0,0,0,0,0,0,184679.592,255459.185,54913.0315,214316.78,178807.17,0,0,126025.5895,34987.5315
"24705_807.393_8.797",50174.039,0,0,0,0,0,0,42854.445,62985.057,22669.4725,58906.815,69045.9,0,0,47893.296,14406.089
"21406_807.555_7.99",0,0,0,0,0,0,0,0,0,48436.2535,211282.83,107043.987,0,0,158128.13,16930.1905
"15719_808.563_6.089",78373.88,0,0,0,0,0,0,94512.8175,117742.035,29958.7355,157757.91,98215.957,0,0,234496.25,21623.1095
"44034_808.666_13.363",587.5507,0,0,0,0,0,0,0,5610.7,28706.8535,3557.40185,0,0,0,0,0
"34144_808.667_11.021",0,0,0,0,0,0,0,0,0,41864.313,148406.076,65399.577,0,0,0,0
"44410_809.43_13.454",0,3423.0562,118908.148,1019.593025,79555.01,101263.015,154855.445,85656.943,10014.105,29094.1175,0,4916.594,12044.4758,1686.2215,0,362769.082
"43704_809.43_13.316",0,802.0934,18171.9885,366.658235,9786.1075,17790.6525,41231.06,120539.13,124946.8475,183356.645,0,6928.415,8627.69,0,0,137788.015
"24183_809.445_8.654",7923.836,742.6905,0,11730.6065,476241.02,107025.415,44829.621,6465.29585,5418.77775,0,0,0,0,0,11644.17325,57008.856
"20310_809.487_7.703",0,0,0,0,0,0,0,0,0,23122.091,106067.83,74600.145,0,0,30127.034,8844.565
"20753_809.487_7.83",0,0,0,0,0,0,0,0,0,160151.12,779714.375,436449.92,0,0,229387.51,65824.165
"21613_809.488_8.036",0,0,0,0,0,0,0,0,0,33200.447,154556.045,93923.383,0,0,34531.9745,7134.379
"23704_809.523_8.543",4877.1925,0,0,0,0,0,0,0,0,0,0,0,0,0,63159.585,0
"21760_809.524_8.07",122738.85,0,0,1671.4651,0,0,0,151276.555,172785.75,88068.2305,520336.735,300886.22,203.16919,0,555648.825,63869.858
"28844_809.56_9.876",24460.155,3456.05375,1359.3156,3218.81665,2952.02515,0,5339.33365,46653.5135,48408.5485,3966.6141,46487.949,14824.662,3268.081,0,686784.9,24943.5555
"37851_809.596_11.999",7301.1035,0,0,1620.61052,0,0,0,61950.91,5067.9805,67112.1385,452367.53,152122.695,0,0,978499.88,36362.639
"38426_809.615_12.154",0,0,4170.2208,0,724.84202,309.9428,315.469175,2169.7705,4894.16915,1332.18345,76123.466,591522.55,256267.097,0,0,198342.65
"38768_809.615_12.219",0,0,7135.49965,0,1780.0719,309.9428,648.96649,3557.9922,4471.15585,1332.18345,65507.0525,596338.235,254384.445,0,0,693388.3
"38722_810.117_12.192",0,0,21893.002,0,419.15088,0,0,3524.58415,3966.89295,0,84466.395,781800.125,223556.695,0,0,632446.25
"36165_810.246_11.514",0,0,0,0,0,0,0,0,0,20734.1935,159827.48,26406.6145,0,0,0,727.97375
"33227_810.308_10.922",0,5968.8915,122373.16,0,62342.7385,0,0,0,0,1039.72535,10140.9785,17754.21595,12864.04,0,0,4920.27015
"19905_810.375_7.568",33738.9735,19781.1995,0,19577.946,102822.745,1408102.45,611201.32,29750.171,43556.606,10992.8165,54693.018,39546.78,0,0,29971.373,258545.505
"6456_810.505_2.889",27471.1,0,0,0,0,0,0,52525.424,53580.955,911620.08,3555862.6,1806867.85,0,0,497101.57,274896.69
