row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,A18.mzML Peak area,A7.mzML Peak area,A8.mzML Peak area,A16.mzML Peak area,A10.mzML Peak area,A9.mzML Peak area,A11.mzML Peak area,A12.mzML Peak area,A6.mzML Peak area,A17.mzML Peak area,A15.mzML Peak area,A14.mzML Peak area,A4.mzML Peak area,A13.mzML Peak area,pooled_QC_1.mzML Peak area,A5.mzML Peak area,A3.mzML Peak area,A2.mzML Peak area,A1.mzML Peak area
40431,341.2699624,10.915456,,,,,,,,,,,4279.5044,16782.703,7586.5825,6382.7964,5583.753,10856.357,6968.071,5656.9116,1001.4451,26351.262,4251.362,4387.1924,4174.3867,7209.885,28057.666,6893.041,24721.385,60021.684,64051.66
36183,341.2700759,9.954901,,,,1287,,,,,,,0,0,0,0,0,1405.4141,0,0,305.74753,1418.3802,0,1989.0969,29908.5,753.0634,66857.77,120272.375,152397.78,279396.6,127035.33
31667,341.2701107,8.759181,,,,33,,,,,,,0,708.8095,0,0,0,824.3859,260.5416,563.9432,0,979.38556,903.39404,14155.486,3377.1116,8721.165,23314.137,7271.291,85441.34,65884.89,111853.02
34387,341.2701542,9.436029,,,,33,,,,,,,444.4047,2753.1665,752.6807,885.17957,504.43158,2314.0916,3006.9111,2046.8909,766.6449,6329.537,2599.597,11660.639,7837.543,23181.121,44947.836,46828.98,75589.27,289810.94,62777.82
38200,341.3063012,10.425522,,,,33,511,[M-H]-,,2,38200;38308,342.31373,0,0,0,0,0,0,0,0,0,375.177,0,349.76556,648.5703,0,10072.604,2606.33,10975.238,37762.312,34685.418
36820,341.306464,10.095083,,,,33,,,,,,,0,218.8319,0,173.21852,0,446.82037,0,196.26672,0,826.16907,0,424.0705,1854.0261,1038.4738,27263.494,6698.968,49750.16,88828.06,74895.29
40213,341.3065098,10.842235,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2685.3726,704.9435,6387.8833,6380.78,40142.02
19808,342.1016323,5.4974456,,,,1397,,,,,,,1695.5516,47099.02,7690.355,1922.5042,13107.098,33164.26,10311.264,19440.215,4976.606,6577.267,27749.146,27183.598,12547.771,31291.69,22050.62,25344.416,2905.8145,5502.164,8807.463
26491,342.1465212,7.573286,,,,33,,,,,,,0,0,0,0,0,0,0,0,275.2818,0,0,0,60980.7,0,24433.582,504340.44,0,0,0
13765,342.1643654,3.9627185,,,,33,,,,,,,0,0,0,0,0,0,0,0,0,0,3033.4685,30924.316,1044.2858,31669.922,18200.375,2036.701,373.87582,4098.4756,3660.8242
19922,342.2289083,5.52607,,,,,,,,,,,0,0,0,0,638.1113,0,5850.77,0,0,0,0,303.82526,0,0,2121.1536,3481.3203,2607.7476,5276.096,14666.779
22056,342.2290045,6.225738,,,,,,,,,,,0,0,0,0,3906.8047,0,12782.835,1046.9902,0,0,0,366.3202,0,0,2750.08,0,12355.41,20480.484,24737.244
17337,342.2290627,4.804518,,,,,,,,,,,0,0,0,0,1537.5002,0,5820.528,211.98434,0,0,0,0,0,0,2975.4294,0,13726.275,7637.4727,14542.231
17641,342.2290711,4.8798184,,,,33,,,,,,,0,0,0,0,3798.675,0,13283.122,850.38873,0,0,0,0,0,0,8753.737,0,17061.7,16600.904,31235.951
20635,342.2290984,5.781584,,,,33,,,,,,,0,0,0,0,6988.997,0,21894.83,1578.719,0,0,0,0,0,0,12014.354,876.3897,17600.465,18530.7,31484.973
18443,342.229139,5.0981307,,,,33,,,,,,,0,0,0,0,419.9155,0,2937.1692,0,0,0,0,0,0,0,2589.9563,0,3442.5354,4489.052,24016.656
32551,342.265391,8.977108,,,,33,,,,,,,0,397.0906,0,0,0,5284.2466,444.71448,485.01422,866.44775,0,397.45575,4520.347,12078.504,0,49666.16,62686.223,199517.39,328652.62,73170.25
68,342.8787402,0.7247472,,,,1102,16,[M+Cl]-,,2,68;473,307.90913,39083.555,0,0,13780.514,19032.55,47945.695,19299.963,20939.33,64659.062,74048.56,23915.89,18330.88,477.8133,26278.615,56996.574,8416.498,21757.072,1192.7421,0
4048,343.0285981,1.5409935,,,,1111,,,,,,,737.5182,0,0,4007.8662,7095.471,14255.395,3539.3003,4272.6616,6584.4214,796.28394,4884.9243,5913.2095,53642.535,6277.7144,12268.384,150612.92,234067.45,35859.824,241094.17
5938,343.0675317,2.2968915,,,,33,109,[M+Cl]-,,2,5912;5938,308.09756,0,0,0,0,0,510.336,0,0,0,0,0,305.67346,9022.219,319.11945,11782.745,38527.145,53400.96,84766.92,55670.418
34983,343.0821736,9.5553875,,,,,,,,,,,0,0,0,0,0,0,0,3542.0464,0,0,9491.266,26004.412,0,24664.832,4997.256,3684.9663,0,715.50024,0
33292,343.0827188,9.152586,,,,33,,,,,,,0,11548.858,5728.4844,0,49283.2,2814.2808,42819.21,206586.06,527.55505,0,295660.16,1165588.2,5505.935,932685.75,580750.44,11262.652,124985.21,156471.38,91147.16
37109,343.0827974,10.112732,,,,,,,,,,,0,0,0,0,0,0,0,186.89429,0,0,4369.879,5710.6143,0,11872.361,2582.0886,0,0,0,0
24135,343.0838218,6.884915,,,,,,,,,,,0,0,0,0,0,0,0,0,0,341.64917,7122.364,21298.902,0,18260.426,7126.4785,1344.0725,3274.4175,1933.6023,4306.82
20597,343.0839738,5.7579265,,,,33,,,,,,,0,0,0,0,404.01544,0,384.1897,531.1932,650.08453,0,0,1752.7949,80890.95,0,33591.996,329999.53,24745.922,27468.777,11303.194
20019,343.0840263,5.5707173,,,,33,,,,,,,0,0,0,0,1274.9465,0,0,0,0,0,0,418.14722,40153.496,0,1683.9254,161616.39,3002.3816,2420.876,1125.3875
13532,343.0844293,3.9031923,,,,33,,,,,,,0,0,0,0,185.24977,0,0,0,3403.8376,0,0,1903.9409,167466.72,0,71235.97,397328.53,2054.7104,1820.7642,910.5365
13065,343.0844773,3.8226721,,,,33,,,,,,,0,0,0,0,185.24977,0,0,0,2706.0667,0,0,1229.2548,112165.51,0,54803.637,298914.25,2054.7104,1533.6156,551.4075
13817,343.0846304,3.9445207,,,,33,,,,,,,0,0,0,0,0,0,0,0,3244.1733,0,0,550.2355,116306.53,0,32476.9,171156.06,538.155,1820.7642,910.5365
14288,343.0847924,4.070277,,,,33,,,,,,,0,0,0,0,0,0,0,0,645.489,0,0,522.75,49752.23,0,26684.863,153188.94,708.3711,1596.4934,873.9098
12141,343.0848039,3.6310394,,,,33,,,,,,,0,0,0,0,0,0,0,0,664.8973,0,0,618.7483,42931.83,0,21775.004,386411.22,2095.4993,0,685.14734
18554,343.0848638,5.1356664,,,,33,,,,,,,0,0,0,0,0,0,0,0,936.96924,0,0,602.1765,49521.438,403.2169,31621.766,335318,1432.6984,1138.6606,606.829
14696,343.0849699,4.170229,,,,505,,,,,,,0,0,0,0,0,0,0,0,1186.1858,0,0,522.75,97673.445,837.9075,30768.148,370068.44,1355.0665,1596.4934,625.239
15116,343.0850612,4.211458,,,,33,,,,,,,0,0,0,0,0,0,0,0,1186.1858,0,0,455.74615,52214.938,837.9075,28389.086,207667.23,1355.0665,0,625.239
12553,343.0851138,3.717541,,,,33,,,,,,,0,0,0,0,0,0,0,0,1465.9252,0,0,0,90518.555,0,29433.707,319845.22,1828.1404,0,1215.6704
17077,343.0851685,4.724559,,,,33,267,[M-2H2O+FA]-,,2,17076;17077,334.10884,0,0,0,0,0,0,0,0,0,0,0,325.2765,41390.79,766.4254,17312.523,145164,584.74695,1639.2179,990.9901
15697,343.0853379,4.3768125,,,,,,,,,,,0,0,0,0,0,0,0,0,642.9136,0,0,0,27860.174,489.747,11434.042,112072.83,658.1802,1186.2458,1154.5415
18925,343.0859934,5.242989,,,,33,,,,,,,0,0,0,0,0,0,0,0,1715.7716,0,0,0,106953.734,0,39875.434,460814.38,1377.8394,3963.281,1243.3684
16359,343.0859985,4.54389,,,,896,,,,,,,0,0,0,0,0,0,0,0,745.8474,410.14313,0,0,64803.27,0,23377.018,322187.5,695.5343,3113.739,561.12695
12450,343.102918,3.6858063,,,,,,,,,,,0,0,0,0,0,0,0,239.09427,0,0,8919.0205,58059.156,943.80225,1218.4666,13394.163,2214.8716,7033.196,3518.1113,2901.3335
5106,343.1038645,2.0041249,,,,1130,99,[M-H]-,,2,5106;5129,344.11121,0,0,0,0,0,0,0,0,0,0,0,1170.4502,3998.6313,1045.0114,21228.05,13542.281,17264.445,370606.12,170965.19
6411,343.1039892,2.4303527,,,,33,,,,,,,0,0,0,0,0,0,0,0,0,0,0,5122.61,38618.773,2355.455,17414.143,155471.9,25405.193,34058.695,17808.705
15492,343.1205314,4.3216443,,,,33,,,,,,,0,0,0,0,0,0,0,0,686.05707,0,1003.52563,7274.2007,100233.29,7044.1904,38670.027,359092.47,2451.9595,6839.57,6118.8213
25389,343.1323432,7.252622,,,,33,,,,,,,0,1671.1294,0,0,0,0,0,0,2863.3386,0,0,0,42832.242,0,10702.455,139597.64,0,0,0
7012,343.1402932,2.5839958,,,,33,126,[M-H]-,,2,6995;7012,344.1477,0,0,0,0,0,0,0,0,0,0,3996.4563,11064.254,9390.363,9433.928,57519.78,27975.385,51006.906,443752.44,350293.84
12302,343.1402947,3.6565986,,,,690,,,,,,,0,11576.003,202780.92,1126.837,2545.2126,794.79456,104556.06,1208.4701,0,9426.303,1918.9348,39547.31,12633.907,24170.193,20947.557,44110.125,26117.223,16662.117,25944.014
12671,343.1403229,3.714758,,,,,,,,,,,0,11416.487,2462.6465,1126.837,2278.4531,794.79456,107375.21,1502.0918,0,9426.303,21171.19,92148.16,9421.12,145210.6,78936.3,41124.14,36522.4,69652.36,55902.6
