"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"25732_294.066_7.347",20952.2,88,88,88,25055.543,18192.75,2222.356,11656.107,4868.8794,4634.3755,20871.36,88,88,88,88,19991.3
"26146_294.066_7.456",87299.195,1178.0001,742.4019,1503.7169,94749.75,77661.12,5552.4517,10698.559,4529.527,5611.025,28407.572,88,88,88,88,75550.36
"22433_294.066_6.329",33692.57,1468.7721,307.87585,1635.5631,107060.984,85507.91,8696.673,11570.681,4589.83,4556.6416,11880.072,88,88,88,88,58098.168
"38888_294.183_10.585",88,88,88,88,88,88,88,323221.3,2164256.5,1212219.8,6147.854,88,2610.0405,491.0434,88,88
"48_294.885_0.677",1551.079,88,176.05148,464.74072,88,88,88,14039.852,3142.2646,953.36115,9382.334,88,88,88,88,217.24634
"280_294.954_0.716",163819.88,1046.3916,3855.7827,18852.004,124.867935,88,88,63769.676,63084.69,66154.99,99277.086,88,20011.734,10625.627,88,6822.28
"7371_294.955_2.674",20214.812,88,88,88,88,88,88,19695.574,21973.678,16304.462,10018.006,1303.9216,88,88,8040.6377,11544.035
"2523_294.994_1.054",88,5488.4707,87405.53,632.5706,1529.6699,88,1493.9458,22139.062,5150.279,202193.36,99835.43,17016.934,57134.605,82457.086,4505.1694,88
"3166_294.994_1.275",982.96765,6380.6587,22688.447,1833.6003,853.1327,504.2045,7467.3027,6626.706,4009.498,68100.414,89310.46,22774.588,23513.69,85085.97,3238.6646,88
"11222_295.01_3.43",60478.53,88,88,88,7403.1733,4816.2476,88,15801.931,70941.09,88,4191.4365,88,88,88,88,20121.604
"11844_295.046_3.541",111858.14,88,88,88,9204.135,13701.706,964.7425,50680.22,60960.207,469.56238,2184.611,88,88,88,88,21955.527
"11476_295.046_3.477",94971.35,88,88,88,9882.385,18785.682,755.88184,63453.75,64793.406,469.56238,4176.672,88,88,88,88,22150.787
"17696_295.083_4.892",42214.414,88,88,88,6373.051,6679.57,88,33323.164,30842.355,8976.706,21240.998,88,88,88,88,19453.32
"16365_295.083_4.539",57900.45,88,88,88,1582.6278,2491.7607,88,106301.414,56616.68,11555.916,25944.32,88,88,88,473.32925,16889.832
"22339_295.098_6.31",4778.5776,88,88,88,485.855,1379.8815,88,9414.166,4445.5327,414.8443,760.3373,88,88,88,88,4684.9033
"20798_295.098_5.821",904.235,88,88,88,2490.5222,2543.3708,88,163527.73,1330.0886,88,88,88,88,88,88,19624.812
"18201_295.098_5.029",9334.842,3016.3335,911.11633,1199.4691,36720.684,50913.598,11548.561,6131.564,4839.2383,88,88,88,88,88,88,14706.354
"20828_295.101_5.835",88,88,88,88,88,88,88,88,88,49179.426,188980.34,88,88,88,88,13368.864
"13935_295.119_3.966",46772.258,203.45401,1132.6631,169.22981,52569.074,46532.176,8185.003,37713.516,24089.432,14957.37,14255.574,88,88,88,88,41381.28
"15089_295.119_4.247",49684.703,101.63606,545.3637,88,48095.02,73909.69,7039.621,53702.727,24444.3,8311.891,29954.746,88,88,88,88,42142.93
"11787_295.119_3.532",20963.924,88,465.59897,88,79543.32,38250.254,11123.862,4739.728,12547.305,13384.784,41438.043,88,88,88,88,12280.504
"14666_295.119_4.188",18021.277,101.63606,97.033714,88,20259.457,25517.867,3979.2861,19110.525,16284.111,9473.251,16643.885,88,88,88,88,19901.688
"13117_295.119_3.818",77540.164,441.8061,671.4592,88,75586.48,43975.867,13274.6455,26295.908,26284.783,33289.668,35716.375,88,88,88,88,108727.09
"10338_295.119_3.25",15690.824,88,226.31021,88,48016.94,27156.055,3560.867,4200.6396,4439.1035,17382.617,62353.684,88,88,88,88,23433.717
"22933_295.122_6.5",41415.4,163.79163,88,88,2906.442,4099.761,88,9989.614,4153.366,153431.34,341378.34,88,88,88,88,85005.54
"22317_295.123_6.289",46344.863,88,88,88,3644.9226,3009.8948,88,24628.549,14256.349,202711.58,414814.56,88,88,88,88,54515.812
"21813_295.123_6.129",22552.262,88,88,88,1923.4009,2030.3546,88,7758.2905,6565.838,49260.652,407980.22,88,88,88,88,39114.93
"23520_295.123_6.673",25239.564,511.1602,2590.887,137.87045,43798.703,42681.168,3965.971,30889.084,24328.543,61202.68,1203625.4,88,4061.2783,174.05646,2373.0618,81343.59
"16071_295.123_4.451",28919.773,88,88,88,88,88,88,6666.526,1314.4266,88,659.61255,88,88,88,88,2139.9883
"40753_295.138_10.982",24283.7,88,325.41852,1060.865,2937.6963,10070.231,88,14523.191,5985.0264,103152.09,2391668.8,3972.9248,21742.25,1134.6615,3870.672,219063.2
"38236_295.138_10.442",884.32495,88,88,88,88,88,88,11176.536,6709.0615,103800.31,658796.06,6654.0703,5543.248,88,88,19949.045
"42684_295.138_11.342",4475.755,88,88,88,88,2414.9468,88,48212.297,24692.256,558022.06,5311745.5,8955.634,1419.4722,88,7676.5063,110383.68
"41734_295.138_11.091",12290.294,88,88,88,888.3727,6210.632,88,4301.9473,15798.115,638422.94,1055383.6,12590.126,3869.2014,88,2009.9226,92453.4
"5561_295.14_2.168",53754.152,4561.5396,4051.1074,2011.5247,4907.5547,5254.25,1062.3931,48521.85,42554.17,21684.56,71036.49,894.805,2120.4138,88,1992.589,30272.57
"19236_295.155_5.345",17867.371,88,88,88,62619.72,46979.574,7551.8896,21022.12,14072.788,7580.303,12187.346,88,88,88,88,34595.805
"18328_295.155_5.061",32585.258,88,88,88,33602.57,48969.66,6789.026,17087.242,13171.261,9413.864,60182.336,88,88,88,88,51109.535
"15193_295.155_4.27",8747.983,88,88,88,79150.75,25926.18,7515.2603,13144.491,11064.178,22504.055,47350.387,88,88,88,88,28801.418
"22408_295.155_6.325",27746.92,391.79495,88,88,8702.859,12851.214,230.09357,15684.692,16625.984,3283.222,25449.125,88,99.74964,88,88,13284.83
"16862_295.155_4.615",25906.486,870.2542,681.24567,389.6172,41582.023,117288.8,26309.664,28374.926,24308.332,28901.994,45642.133,88,892.0687,88,88,123024.51
"17360_295.156_4.792",95505.04,5738.8965,2757.0034,3294.9644,218439.44,270261.22,53749.086,100592.484,69842.05,7376.1313,37601.383,88,3835.5464,88,1776.9908,151310.17
"41491_295.159_11.058",4316.785,88,88,88,346.2784,88,88,3916.018,998.26074,227983.33,1860126.4,88,88,88,88,8763.435
"27260_295.159_7.74",27655.326,88,311.59204,88,5718.218,7280.003,154.98593,21255.53,14023.05,7465.1406,35454.55,88,428.6489,88,1056.5298,17213.143
"30606_295.171_8.5",1327.9966,2661.1018,2443.5166,9656.952,88,88,88,88,88,88,88,88,88,88,88,7386.462
"41154_295.175_11.007",88,11450.592,266416.94,280891.5,65148.465,91680.23,54245.094,2274514,544746.2,164587.5,29573.883,702211.44,9754.521,32029.205,511.31122,88
"24164_295.192_6.891",23468.363,174.94289,88,88,9156.436,13317.955,1099.947,20625.762,26050.73,4427.7715,6383.174,88,88,88,88,19365.549
"26755_295.192_7.583",54947.082,88,88,88,12494.927,8217.124,1021.9234,112392.914,47267.33,10651.113,10107.805,88,88,88,88,24971.691
"23489_295.192_6.672",22803.928,88,176.19572,88,26438.742,25542.443,2544.3281,46999.367,12131.955,4081.3818,8100.2505,88,88,88,88,15531.547
"22778_295.192_6.464",15593.756,88,88,88,23939.424,9717.76,1151.8706,22445.773,11512.115,3144.8813,7153.665,88,88,88,88,24737.076
"23768_295.192_6.74",16613.836,88,176.19572,88,11423.356,15077.435,1645.5458,33644.61,12131.955,3558.3804,9559.714,88,88,88,88,24181.709
"21592_295.192_6.05",20932.95,88,88,88,10317.403,14397.136,1458.3394,6004.171,6094.0977,2383.861,4381.2544,88,88,88,88,12698.042
"34687_295.192_9.551",161582.31,88,88,88,2420.8994,5227.183,384.13922,219667.06,143053.55,16431.576,65489.11,233.63272,266.1356,88,88,37500.363
"34114_295.192_9.381",136616.1,546.0109,88,545.1065,2976.835,5159.2827,383.17532,240485.77,153143.12,12129.942,63740.39,776.06885,758.8917,88,562.2876,33359.535
"30398_295.228_8.459",3974760.2,24397.8,15261.036,18801.408,87617.5,126856.22,16937.309,6411069.5,5578471.5,116003.81,281844,8296.637,19226.139,5024.4233,13063.191,1758866.4
"32962_295.228_9.073",645103,10590.758,6002.7944,9674.534,50466.293,50204.6,8916.01,875111.4,875632.7,110884.984,294992.78,14468.069,13796.028,4122.647,8003.2866,342861.75
"34138_295.228_9.331",54353.754,143.62083,88,1584.6229,8110.452,10356.618,442.14435,161576.06,88739.25,14987.716,31452.104,253.3649,1494.1886,88,150.06703,39868.715
"32567_295.228_9.003",328036.1,3634.1863,4184.6577,4550.679,13108.35,22786.324,2349.1025,371465.3,290159.44,88474.76,174048.64,7484.4224,5832.2407,2656.2861,5194.864,138981.62
