FeatureID,Mass,Retention_time,A1.mzML,A2.mzML,A3.mzML,A4.mzML,A5.mzML,A6.mzML,A7.mzML,A8.mzML,A9.mzML,A10.mzML,A11.mzML,A12.mzML,A13.mzML,A14.mzML,A15.mzML,pooled_QC_1.mzML
13752,242.025,3.946,1.50E-07,8.99E-08,1.03E-07,1.26E-07,9.43E-08,2.98E-07,1.13E-05,1.92E-06,4.32E-06,0.000356257,0.000126642,0.000124696,5.36E-06,3.66E-06,4.01E-06,2.29E-07
19793,242.176,5.496,0.005838973,0.001930891,0.001478611,0.003782112,0.013507866,0.001081835,0.078302094,0.01167651,0.051765854,0.036418278,0.012669959,0.022709317,0.025166383,0.023522258,0.010562854,0.018291718
168,242.943,0.711,0.000694751,0.001184513,0.000638026,0.000556275,0.001036527,0.000145259,0.006697009,0.003903287,0.000455973,0.001106985,0.003383312,0.002821756,0.000152835,0.000110385,0.000122911,0.000346953
12488,243.033,3.711,7.88E-06,4.76E-06,6.05E-06,0.000308441,0.000881434,8.23E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,0.000335406
7886,243.033,2.802,2.27E-06,8.99E-08,1.03E-07,4.81E-05,9.26E-05,4.45E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,9.64E-06,6.62E-07,5.61E-05
10647,243.033,3.326,1.50E-07,8.99E-08,1.03E-07,2.34E-05,5.99E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.37E-05
9222,243.033,3.069,6.40E-07,8.99E-08,4.03E-07,4.36E-05,0.00011372,1.25E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,4.64E-05
34773,243.066,9.561,1.50E-07,1.31E-06,0.000187017,1.26E-07,9.43E-08,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.29E-07
15840,243.07,4.448,6.72E-07,8.99E-08,1.02E-06,1.98E-05,5.34E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.40E-05
26302,243.07,7.518,7.92E-05,2.71E-05,3.77E-05,1.37E-05,3.55E-05,2.98E-07,2.68E-05,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,3.24E-06,1.56E-05,6.62E-07,6.06E-05
