"featureIDs","A1.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","logFC","pvalue","logpval","Sample_Type"
31765,6.92e-05,0.000138398,0.000277844,0.000146868,0.000124961,7.68e-05,9.49e-05,2.81e-05,0.000249642,5.71e-05,1.75e-05,1.5e-05,8.97e-06,1.57e-05,9.69e-06,2.69817352595454,0.00312299148768182,2.50542919952191,"Significant in SMRW"
32586,6.42e-05,6.99e-05,0.000133344,0.000107401,3.91e-05,1.64e-05,0.000162399,3.39e-05,0.000196101,4.67e-05,7.54e-05,6.36e-05,1.92e-05,2.28e-05,2.68e-05,1.10781719678314,0.0548056613477054,1.26117457718945,"Not Significant"
39725,1.5e-08,1.43e-08,1.61e-08,3.41e-08,1.25e-08,1.67e-08,1.89e-07,3.32e-07,1.33e-08,5.12e-06,2.23e-07,2.44e-05,2.71e-08,2.82e-08,3.1e-08,-6.12073007549081,0.272174723344631,0.565152209851525,"Not Significant"
44710,5.06e-05,3.82e-05,3.5e-05,3.41e-08,1.25e-08,1.67e-08,1.89e-07,3.32e-07,1.44e-06,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,7.67133992498668,0.0806606338270787,1.09333836965147,"Not Significant"
31654,1.5e-08,0.000221978,4.16e-06,3.41e-08,3.71e-06,1.18e-06,1.89e-07,3.32e-07,1.33e-08,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,8.55163561835997,0.326116498148377,0.486627229793983,"Not Significant"
36240,1.15e-05,5.94e-05,2.21e-05,0.000103403,0.000154622,0.000109013,3.68e-06,3.32e-07,0.000424642,9.4e-06,2.23e-07,1.93e-06,1.97e-06,6.91e-06,3.1e-08,4.85556092593135,0.0650749329095383,1.18658627096413,"Not Significant"
20317,1.5e-08,1.43e-08,1.61e-08,0.00011543,0.000123676,9.73e-05,1.89e-07,3.32e-07,6.25e-05,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,9.33802518245818,0.0422317256571893,1.37436117223166,"Significant in SMRW"
40602,1.5e-08,1.43e-08,1.61e-08,3.41e-08,2.06e-06,1.06e-06,1.89e-07,3.32e-07,4.31e-05,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,6.24514159959877,0.310613771481762,0.507779293147223,"Not Significant"
14759,0.000550654,0.000383611,0.000412875,0.000210539,0.000124114,0.000315704,2.53e-06,3.32e-07,0.000207232,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,11.8043303571957,0.00441603918480761,2.35496708163977,"Significant in SMRW"
17283,4.27e-05,0.000339769,0.001128115,4.04e-05,2.96e-05,4.17e-05,1.39e-05,4.02e-06,0.000186672,1.14e-05,2.23e-07,6.09e-06,2.71e-08,2.82e-08,3.1e-08,6.09645189791334,0.137627886972648,0.861293557879301,"Not Significant"
28856,6.5e-05,4.4e-06,1.61e-08,3.41e-08,1.25e-08,1.67e-08,1.89e-07,2.39e-05,1.33e-08,1.84e-05,2.23e-07,4.16e-05,2.71e-08,2.82e-08,3.1e-08,0.0488834459595726,0.973195107555445,0.0118000830201075,"Not Significant"
17550,2.98e-05,1.67e-05,2.6e-05,3.41e-08,1.25e-08,1.67e-08,1.89e-07,3.32e-07,1.33e-08,8.43e-05,2.23e-07,9.15e-06,2.71e-08,2.82e-08,3.1e-08,-0.944100260251556,0.621853395543015,0.206311989925376,"Not Significant"
7173,0.001369004,0.001084802,0.001057905,0.000859166,0.000927488,0.000883526,0.000211692,7.06e-05,0.00044469,0.001906318,0.000716576,0.001742655,0.001155956,0.000781482,0.001179258,-0.699983315007406,0.0800667794078449,1.09654764012692,"Not Significant"
8069,1.98e-05,1.47e-05,1.69e-05,0.000161389,3.29e-05,3.35e-05,3.97e-05,2.44e-05,1.71e-05,4.78e-05,1.38e-05,3.91e-05,1.38e-05,2.35e-05,1.59e-05,0.642599244669726,0.404314526650512,0.393280654583167,"Not Significant"
21394,0.000133831,0.000148655,0.000258827,3.41e-08,1.25e-08,1.67e-08,1.89e-07,1.88e-06,1.33e-08,4.06e-05,2.23e-07,1.08e-06,2.71e-08,2.82e-08,3.1e-08,3.10911399356266,0.139206028635026,0.856341956203684,"Not Significant"
17884,1.5e-08,1.43e-08,1.61e-08,0.000124468,0.000168199,0.00015522,1.89e-07,3.32e-07,1.33e-08,5.04e-08,2.23e-07,5.18e-08,4.79e-06,3.02e-06,3.46e-06,4.68843875429807,0.09336175996356,1.02983096999548,"Not Significant"
16550,1.5e-08,1.43e-08,1.61e-08,9.14e-05,0.000143804,0.000127927,1.89e-07,3.32e-07,1.33e-08,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,9.20272072233713,0.0864899730771018,1.0630342380808,"Not Significant"
44097,1.49e-05,2.44e-05,1.04e-05,3.41e-08,1.25e-08,1.67e-08,1.89e-07,3.32e-07,3.61e-06,1.15e-06,2.23e-07,5.18e-08,1.25e-06,2.82e-08,3.1e-08,3.71608504912432,0.0956373988863494,1.01937224419017,"Not Significant"
44219,1.5e-08,1.43e-08,1.61e-08,3.41e-08,1.25e-08,1.67e-08,1.89e-07,3.32e-07,1.33e-08,6.35e-06,2.23e-07,3.12e-05,2.71e-08,2.82e-08,3.1e-08,-6.4646476895029,0.274290037555673,0.561789966049025,"Not Significant"
34439,6.36e-07,2.99e-06,9.42e-06,8.71e-06,1.05e-05,2.17e-05,0.000182891,1.26e-05,1.33e-08,5.04e-08,0.000247244,5.18e-08,3.07e-05,2.29e-05,0.000134082,-1.38726118688183,0.350173066755045,0.455717260335618,"Not Significant"
33799,3.72e-06,9.95e-06,1.71e-05,4.07e-05,1.75e-05,4.13e-05,0.000137235,3.32e-07,1.33e-08,5.78e-07,0.000232059,5.18e-08,5.32e-05,6.08e-05,4.37e-05,-1.12844725231791,0.383985573722546,0.415685091701176,"Not Significant"
24636,4.71e-05,3.98e-05,4.77e-05,1.94e-05,1.05e-05,9.62e-06,3.03e-05,8.52e-06,0.00012616,1.95e-05,2.72e-06,5.21e-05,1.24e-05,4.9e-06,3.2e-06,1.25348498546524,0.155664153755672,0.807811384981305,"Not Significant"
39119,1.5e-08,1.43e-08,1.61e-08,3.41e-08,2e-06,3e-06,1.89e-07,3.32e-07,1.33e-08,5.95e-05,2.23e-07,0.000445731,1.27e-05,2.99e-07,7.35e-07,-7.11609806258339,0.288973594147157,0.539141840427264,"Not Significant"
28834,0.000159751,0.000395841,0.000340439,0.000151295,0.000356163,0.000282292,6.6e-05,4.8e-05,0.000729227,1.37e-05,2.23e-07,2.72e-05,2.71e-08,2.82e-08,3.1e-08,5.35449533218353,0.00450824990108666,2.34599201816833,"Significant in SMRW"
9904,5.27e-06,1.43e-08,1.61e-08,0.000793186,0.000815171,0.000343174,1.89e-07,9.88e-07,1.33e-08,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,11.6312542020448,0.100080893553258,0.999648825781496,"Not Significant"
11529,0.000866417,0.000508572,0.000617489,4.33e-06,4.79e-06,4.24e-06,1.89e-07,3.32e-07,2.13e-06,0.000157648,8e-07,5.92e-06,1.5e-06,5.3e-06,1.41e-05,2.8534624376697,0.136151576426677,0.865977325830124,"Not Significant"
12082,1.5e-08,1.43e-08,1.61e-08,0.000109271,8.83e-05,6.93e-05,9.14e-06,1.2e-06,2.74e-05,9.18e-07,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,7.31094767833075,0.0484931109844137,1.31431995364432,"Significant in SMRW"
14599,1.5e-08,1.43e-08,1.61e-08,9.72e-05,0.000116637,0.000101483,1.89e-07,3.32e-07,2.83e-05,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,9.12311944590692,0.0557866718866658,1.25346954689523,"Not Significant"
17363,2.85e-05,8.7e-06,1.65e-05,0.000456281,0.000533574,0.000507909,1.77e-05,3.32e-07,5.3e-05,1.36e-05,2.22e-06,2.05e-05,2.71e-08,2.82e-08,3.1e-08,4.89292048451572,0.0615806328875525,1.21055585200055,"Not Significant"
22554,6.22e-05,2.71e-06,2.32e-05,3.41e-08,1.25e-08,6.68e-07,0.00021214,2.52e-05,0.000123674,2.06e-05,1.56e-05,4.88e-05,2.71e-08,2.82e-08,3.1e-08,1.81744619820873,0.193955832755697,0.712297155504377,"Not Significant"
19219,1.58e-06,1.43e-08,1.61e-08,9.95e-05,9.46e-05,0.000110415,1.89e-07,3.32e-07,1.24e-05,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,9.01369560857549,0.065908763958432,1.18105683296711,"Not Significant"
30189,9.72e-05,0.000243426,0.000242138,6.86e-05,0.000107913,8.67e-05,0.000157269,4.67e-05,0.00075268,2.42e-05,5.74e-06,4.8e-05,2.71e-08,2.19e-06,3.1e-08,3.90560563850624,0.0337625912174332,1.47156422945612,"Significant in SMRW"
26576,0.000460421,0.000459479,0.000579478,6.83e-05,0.000162555,0.000204082,0.001059865,0.000132631,0.000831481,0.000610433,0.000232587,0.000511246,0.000198138,0.000350446,0.000239823,0.300503849406557,0.544076109172278,0.264340343901936,"Not Significant"
43914,1.9e-05,0.00022352,0.000213499,0.000389291,1.34e-05,2.48e-05,0.000264606,0.00048974,1.63e-05,6.39e-05,0.00031648,7.14e-05,3.06e-05,0.000128581,0.000191383,0.458839976806375,0.507818698218294,0.294291312159573,"Not Significant"
28040,0.000927178,0.00078665,0.001157392,0.000128266,0.000281008,0.000261464,0.001006734,0.000607152,0.002628775,0.001268981,0.0010678,0.000835224,0.000180895,0.000167574,0.000128525,0.508163175415792,0.445729511948899,0.350928610131364,"Not Significant"
366,9.63e-06,2.69e-05,1.5e-05,3.22e-05,2.79e-05,1.77e-07,2.16e-05,4.61e-05,1.33e-08,5.47e-07,2.53e-05,7.3e-06,2.71e-08,2.82e-08,3.1e-08,1.84848302927895,0.0465860213660721,1.33174437846663,"Significant in SMRW"
7582,1.5e-08,1.43e-08,1.61e-08,3.41e-08,1.25e-08,1.67e-08,1.89e-07,3.32e-07,1.33e-08,5.04e-08,2.23e-07,5.18e-08,3.99e-05,0.000117736,0.000546259,-10.6819546581919,0.239076519162006,0.621463075909035,"Not Significant"
